,File_Name,Title,PO_Number,Original_For_Recipient,Tax_Invoice_Number,Consignor,Consignor_GST_No,Consignor_State_Code,Consignor_State_Name,HSN/SAC,Consignee,Consignee_GST_No,Consignee_State_Code,Consignee_State_Name,Vehicle_Number,RCM_Status,Remarks
0,1.pdf,,,,SS/2023-24/B1,,27AAMCS2859Q1ZC,,,,L & T,,,,,,
1,118.pdf,Available,"OGSP/7800017657/2
G",,,,244AACL0140P0Z0,24.0,MAHARASHTRA,,L & T,24AAACL0140PDZD,24.0,GUJARAT,,,
2,119.pdf,,,,,,27AAKCAIS42R1Z5,,,,Larsen,24AAACL0140PDZD,24.0,GUJARAT,,,
3,120.pdf,Available,,,IF6012324/015370,,,,,,,,,,,,
4,122.pdf,Available,,,1446/23-24,,27ADUPM0382L1ZX,,,,Larsen,,,,,,
5,123.pdf,Available,,,1446/23-24,,27ADUPM0382L1ZX,,,,Larsen,,,,,,
6,128.pdf,,,,,,27AAKCALS42R1Z5,,,,Larsen,24AAACL0140PDZD,24.0,GUJARAT,,,
7,129.pdf,Available,,,IF6012324/015400,,,,,,,,,,,,
